guid,noteid,Title,OccludedImage,Clinical,Comment,Origin,Insertion,Attachments,Innervation,Actions,Plate,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,12a,13a,14a,15a,16a,17a,18a,19a,20a,tags
W*n5||%5w),1349476586507,"Abdominale Wand und innere Organe: Median (Sagittal) Schnitt","<img src=""MSA-Abdominal_Wall_and_Viscera-Median_(Sagittal)_Section28.jpg"">","<b>Clinical:</b> The abdominopelvic cavity is a potential space, normally containing only a small amount of serous lubricating fluid that allows the viscera to glide easily over one another during gastrointestinal peristalsis. The abnormal accumulation of serous fluid in this potential space is called ascites. Ascites can occur for a variety of reasons. In liver cirrhosis, the sinusoidal hypertension (portal hypertension) can contribute up to 10-20 L/day of weeping hepatic lymph that may collect in the peritoneal cavity and greatly distend the belly.<br>","<b>Comment:</b>  Reflections of the parietal and visceral peritoneum and their intervening mesenteries can be seen in this sagittal section.  The stomach, small intestine (jejunum and ileum portions), transverse colon, and sigmoid colon are suspended in the peritoneal cavity by mesenteries.  The other portions of the gastrointestinal tract are secondarily retroperitoneal.  <br><br>The abdominopelvic cavity is a potential space, normally containing only a small amount of serous lubricating fluid that allows the viscera to glide easily over one another during gastrointestinal peristalsis.  The abnormal accumulation of serous fluid in this potential space is called ascites.<br>",,,,,,"Atlas Plate 323",Leber,"Omentum minus","Bursa omentalis","Mesocolon transversum","Colon transversum",Dünndarm,Blase,Rectum,"Inferiorer (horizontaler, oder 3er) Teil des Duodenum",Pankreas,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Abdomen DopeRanatomy::Region::Pelvic DopeRanatomy::System::Gastrointestinal Dufte::Abdomen::Schnittbilder"
*)}a4HFI&4,1349477488349,"Abductor Hallucis","<img src=""MSA-Abductor_Hallucis51.jpg"">","<b>Clinical:</b> Plantar fasciitis (heel spur syndrome) is a common cause of heel pain, especially in joggers, and results from inflammation of the plantar aponeurosis at its attachment point to the calcaneus (cut in this figure).<br>","<b>Comment:</b>  The tendon of the abductor hallucis and the medial tendon of the flexor hallucis brevis muscle insert together.  <br><br>The first layer of foot muscles are covered by a medial and lateral plantar fascia and a central thickened plantar aponeurosis (fascia).  Plantar fasciitis (heel spur syndrome) is a common cause of heel pain, especially in joggers, and results from inflammation of the plantar aponeurosis at its attachment point to the calcaneus (cut in this figure).<br>","<b>Origin (proximal):</b>  Arises from the medial process of the tuberosity of the calcaneus and from the flexor retinaculum and plantar aponeurosis.  <br><br>","<b>Insertion (distal):</b>  Inserts into the medial aspect of the base of the proximal phalanx of the big toe.  <br><br>",,"<b>Innervation:</b>  Medial plantar nerve (S2 and S3).  <br><br>","<b>Action:</b>  Abducts the big toe at the metatarsophalangeal joint and can flex the toe.  <br><br>","Atlas Plate 521","<div>Musculus abductus hallucis</div>",,,,,,,,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Lower_Limb::Lower_Leg DopeRanatomy::System::Musculoskeletal::Muscular::Lower_Limb::Lower_Leg Dufte::Untere_Extremitäten::Fuß::Muskulatur"
U/)MqbJ7{:,1349477488350,"Anorectal Musculature","<img src=""MSA-Anorectal_Musculature8.jpg"">","<b>Clinical:</b> Trauma to the anal mucosal lining, e.g., from compacted feces, can lead to an anal infection that can spread into the adjacent sphincter muscles and beyond, into the ischioanal fossae of the fat-filled anal triangle.<br>","<b>Comment:</b>  An internal sphincter lies deep to the external anal sphincter.  This smooth muscle sphincter is under involuntary control.  Sympathetic fibers maintain its tonic contraction, whereas parasympathetic fibers relax muscle tone and permit expansion of the anal canal during defecation or flatulence.  This action also requires that the external anal sphincter be relaxed simultaneously.<br>",,,"<b>Attachments:</b>  Surrounds the last 2cm of the anal canal and consists of subcutaneous, superficial, and deep portions.  Some fibers attach anteriorly to the perineal body and posteriorly to the anococcygeal ligament.  Fibers also may join the superficial transverse perineal muscle, the levator ani, and the bulbospongiosus.  Deep fibers interlace with the puborectalis muscle.  <br><br>","<b>Innervation:</b>  Supplied by the inferior rectal branches (largely S4) of the pudendal nerve (S2-4).  <br><br>","<b>Action:</b>  This muscle is in a tonic state of contraction and has no antagonist.  It keeps the anal canal closed.  <br><br>","Atlas Plate 374","External anal sphincter (Deep; Superficial; Subcutaneous);<div>Musculus sphincter ani externus (profundus, superficialis, subcutaneous)</div>",,,,,,,,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Pelvic DopeRanatomy::System::Gastrointestinal DopeRanatomy::System::Musculoskeletal::Muscular::Pelvic Dufte::Becken_Beckenboden::Analkanal"
S+aNL8!1O,1349477488351,"Vordere Bauchwand 1","<img src=""MSA-Anterior_Abdominal_Wall_12.jpg"">","<b>Clinical:&nbsp;</b>A weakness in the anterior abdominal wall can lead to hernias, where underlying viscera and fat may protrude anteriorly and cause a bulge or rupture of the anterior muscle layers. The most common types of abdominal wall hernias are inguinal hernias, umbilical hernias, linea alba hernias (usually occur in the epigastric region), and incisional hernias (occur at the site of a previous surgical scar).<br>","<b>Kommentar:</b>&nbsp;Er entspringt von der&nbsp;<strong>Fascia thoracolumbalis&nbsp;</strong>(tiefes Blatt), der&nbsp;<strong>Crista iliaca</strong>&nbsp;und vom&nbsp;<strong>Lig. inguinale</strong>. Von dort ziehen seine Fasern zu den unteren Ränder der&nbsp;<strong>10.–12. Rippe</strong>. Medial gehen sie in die&nbsp;<strong>Internusaponeurose</strong>&nbsp;über, die ebenfalls an der Bildung der Rektusscheide beteiligt ist.<div>Sein Faserverlauf ist im oberen Bereich gegenüber dem des M. obliquus externus genau&nbsp;<strong>um 90° versetzt</strong>. Die kaudalen Fasern verlaufen horizontal und nach kaudal-medial.&nbsp;Beim Mann bildet der kaudale Teil des M. obliquus internus abdominis mit einigen Muskelfasern den&nbsp;<strong>M. cremaster</strong>.</div><div>Die einseitige Kontraktion bewirkt eine&nbsp;<strong>Seitwärtsneigung</strong>&nbsp;zur gleichen Seite, bei beidseitiger Kontraktion wird der Körper&nbsp;<strong>nach vorne</strong>&nbsp;gebeugt. Auch dieser Muskel hat große Bedeutung für&nbsp;<strong>Bauchpresse</strong>&nbsp;und forcierte Exspiration.</div><br><img src=""ana_006100_steckbrief2.png""><br><div><img src=""ana_006100_bauchmuskeln_seitlich (1).png""><br><img src=""ana_006100_bauchwand_aufbau.png""><br></div>","<b>Ursprung:</b>&nbsp;<div>Fascia thoracolumbalis<div>Crista iliaca</div><div>Lateraler Teil des&nbsp;Leistenbandes</div><div>Spina iliaca&nbsp;anterior superior<br></div></div>","<b>Ansatz:</b>&nbsp;<div><br></div><div>Übergang zum&nbsp;M. cremaster:&nbsp;Vom Unterrand des&nbsp;Muskels&nbsp;spalten sich einige Fasern ab, die als&nbsp;M. cremaster&nbsp;(Hodenheber) ins&nbsp;Skrotum&nbsp;ziehen<br></div><div><br></div><div>10.–12.&nbsp;Rippe</div><div>Linea alba</div><div>Vorderes und hinteres Blatt der&nbsp;Rectusscheide<br></div>",,"<b>Innervation:</b>  By intercostal nerves T7-11, subcostal nerve (T12), and iliohypogastric and ilioinguinal nerves (L1).  <br><br>","<b>Funktion:</b>&nbsp;<div>Bewegung des Rumpfes<br><div>Bauchpresse</div><div>Exspiration<br><br></div></div>","Atlas Plate 244","<div>M. obliquus internus abdominis</div>",,,,,,,,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Abdomen DopeRanatomy::System::Musculoskeletal Dufte::Abdomen::Muskulatur"
%V+:dYkKqC,1349477488352,"Vordere Bauchwand&nbsp;2","<img src=""MSA-Anterior_Abdominal_Wall_23.jpg"">","<b>Klinik:&nbsp;</b>„Sixpack“<div>Die muskulären Abschnitte des M. rectus abdominis sind am Bauch von Durchtrainierten als „Sixpack“ oder „Waschbrettbauch“ gut zu sehen.</div>","<b>Kommentar:</b>&nbsp;<br><div><div>M. rectus abdominis</div><div>Er füllt die Rektusscheide aus und hat seinen Ursprung an den&nbsp;<strong>Rippenknorpelaußenflächen der 5.−7. Rippe</strong>&nbsp;und am&nbsp;<strong>Processus xiphoideus</strong>. Von dort zieht der Muskel in parallelen Faserzügen zum Os pubis und setzt dort zwischen&nbsp;<strong>Tuberculum pubicum</strong>&nbsp;und&nbsp;<strong>Symphyse</strong>&nbsp;an. Die Innervation erfolgt durch die&nbsp;<strong>Nn. intercostales</strong>.</div><div>Der M. rectus abdominis verspannt die Bauchwand, bei Kontraktion&nbsp;<strong>richtet</strong>&nbsp;er den Oberkörper aus dem Liegen&nbsp;<strong>auf</strong>. Im Stehen&nbsp;<strong>beugt</strong>&nbsp;er den&nbsp;<strong>Rumpf</strong>&nbsp;und kann das Becken anheben. Zudem ist er für die&nbsp;<strong>Bauchpresse</strong>&nbsp;und forcierte Exspiration mit verantwortlich.</div><div>Bei Betrachtung des M. rectus abdominis fällt auf, dass er etagenartig durch Bindegewebssehnen in einzelne muskuläre Abschnitte unterteilt wird. Diese&nbsp;<strong>Intersectiones tendineae</strong>&nbsp;(Zwischensehnen, i.d.R. sind 2 oberhalb und 1–2 unterhalb des Nabels zu finden) unterteilen den M. rectus abdominis in Muskelbäuche, die isoliert kontrahiert werden können.<br><br></div></div><div><img src=""ana_006100_bauchmuskeln_vorne.png""><br></div>","<b>Ursprung:</b>&nbsp;<div>5.–7.&nbsp;Rippenknorpel</div><div>Proc. xiphoideus sterni <br><br></div>","<b>Ansatz:</b><div>Os pubis<br></div>",,"<b>Innervation:</b>  Intercostal nerves (T7-11) and the subcostal nerve (T12).  <br><br>","<b>Funktion:</b><div>Aufrichten des Beckens</div><div>Ventralflexion&nbsp;des Rumpfes bzw. Aufrichten des Rumpfes aus Rückenlage</div><div>Bauchpresse</div><div>Exspiration <br><br></div>","Atlas Plate 244","M.&nbsp;rectus abdominis",,,,,,,,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Abdomen DopeRanatomy::System::Musculoskeletal Dufte::Abdomen::Muskulatur"
7|TWaHX+}[,1349477488353,"Vordere Bauchwand&nbsp;3","<img src=""MSA-Anterior_Abdominal_Wall_34.jpg"">","<b>Klinik:&nbsp;</b>Kremasterreflex: Bestreichen der Oberschenkelinnenseiten → Hoden wird ipsilateral angehoben<div>Reizleitung:&nbsp;N. genitofemoralis&nbsp;(Segment L1–2) mit R. femoralis (afferenter&nbsp;Schenkel) und R. genitalis (efferenter&nbsp;Schenkel)&nbsp;</div>","<b>Comment:</b>  After passing through the inguinal ring, the muscle fibers of the cremaster form a series of loops that are embedded in the cremasteric fascia (surrounding the spermatic cord in a man).  <br><br>The spermatic cord is covered by 3 fascial layers derived from the abdominal wall.  The external spermatic fascia is derived from the external abdominal oblique aponeurosis; the middle spermatic (cremasteric) fascia, from the internal abdominal oblique muscle; and the internal spermatic fascia, from the transversalis fascia.  <br>","<b>Origin:</b>  This thin muscle arises from the middle of the inguinal ligament and is a continuation of the internal abdominal oblique muscle.  <br><br>","<b>Insertion:</b>  Attaches by a small tendon to the pubic tubercle and crest.  <br><br>",,"<b>Innervation:</b>&nbsp;N. genitofemoralis&nbsp;(Segment L1–2) <br><br>","<b>Funktion:</b>  Hodenhebermuskel<div>Kremasterreflex: Bestreichen der Oberschenkelinnenseiten → Hoden wird ipsilateral angehoben</div><div>Reizleitung:&nbsp;N. genitofemoralis&nbsp;(Segment L1–2) mit R. femoralis (afferenter&nbsp;Schenkel) und R. genitalis (efferenter&nbsp;Schenkel) <br><br></div>","Atlas Plate 244","<div>Musculus cremasteres</div>",,,,,,,,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Abdomen DopeRanatomy::System::Musculoskeletal Dufte::Abdomen::Muskulatur"
4Q2A|Y0<L3,1349477488354,"Vordere Abdominalwand: Tiefe Schicht","<img src=""MSA-Anterior_Abdominal_Wall-Deep_Dissection5.jpg"">","<b>Clinical:</b> The inferior epigastric vessels form the lateral umbilical fold and anastomose with the superior epigastric vessels, which are continuous with the internal thoracic (mammary) vessels. This arterial vascular anastomosis is important in providing blood to the abdominal wall, as these arteries have connections all along their route with intercostal arteries (in the thorax) and segmental lumbar branches in the abdomen.<br>","<b>Comment:</b>  Above the arcuate line, the anterior layer of the rectus sheath comprises the fused aponeuroses of the external and internal abdominal oblique muscles, whereas the posterior layer comprises the fused aponeuroses of the internal abdominal oblique and the transversus abdominis muscles.  Below the arcuate line, the aponeuroses of all 3 muscles fuse to form the anterior layer of the sheath, and the rectus abdominis muscle rests only on the thin transversalis fascia.  <br><br>The inferior epigastric vessels form the lateral umbilical fold and anastomose with the superior epigastric vessels, which are continuous with the internal thoracic (mammary) vessels.<br>",,,,,,"Atlas Plate 245","Vasa epigastrica superior","M. rectus abdominis","M. transversus abdominis","Rektusscheide (Lamina posterior)","Vasa epigastrica inferior","Lig. inguinale (Vesalius-Band)","Falx inguinalis","M. cremaster",,"Plica umbilicalis medialis","innere Bauchfaszie&nbsp;(Fascia transversalis)","Linea arcuata","Vorderes Blatt der Rektusscheide","Linea alba",,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Abdomen DopeRanatomy::System::Musculoskeletal Dufte::Abdomen::Bauch_Beckenwand"
/`(c(QI3_F,1349477488355,"Vordere Bauchwand: Oberflächliche Schichten","<img src=""MSA-Anterior_Abdominal_Wall-Superior_Dissection1.jpg"" />","<b>Clinical:</b> On the left side (patient's left) of this dissection, one can see the fatty Camper's fascia and the underlying membranous (Scarpa's) fascia of the abdominal wall. These fascial planes are important in the spread of infection. Fluid from the perineal region (e.g., ruptured urethra) can spread into the abdominal wall between Scarpa's fascia and the underlying investing (deep) fascia of the external abdominal oblique muscle and aponeurosis. <br>","<b>Comment:</b>  This is the largest and most superficial of the 3 flat abdominal muscles.  <br><br>A weakness in the anterior abdominal wall can lead to hernias, where underlying viscera and fat may protrude anteriorly and cause a bulge or rupture of the anterior muscle layers.  The most common types of abdominal wall hernias are inguinal hernias, umbilical hernias, linea alba hernias (usually occur in the epigastric region), and incisional hernias (occur at the site of a previous surgical scar).<br><div><br></div><div><img src=""ana_006100_bauchmuskeln_seitlich.png""><br></div>",<b>Ursprung:</b>&nbsp;<div>5.–12.&nbsp;Rippe<br></div><div><br></div>,"<b>Ansatz:</b><div><div>Crista iliaca</div><div>Vorderes Blatt der&nbsp;Rectusscheide</div><div>Linea alba&nbsp;</div><br></div><div>""<b>Hosentaschenverlauf</b>""&nbsp;Von kranial/lateral nach kaudal/medial verlaufend</div>",,"<b>Innervation:</b>  Supplied by intercostal nerves T7-11 and the subcostal nerve (T12).  <br><br>","<b>Action:</b>  Compresses the abdominal contents.  Contracting bilaterally, the muscles flex the vertebral column or trunk.  Acting alone, it bends the vertebral column laterally and rotates it so as to bring the shoulder of the same side forward.  <br><br>","Atlas Plate 243","A: M. obliquus externus abdominis<br><div><br></div><div>B: Vorderes Blatt der Rectusscheide</div>",,,,,,,,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Abdomen DopeRanatomy::System::Musculoskeletal Dufte::Abdomen::Muskulatur"
P84e_EARG.,1349477488356,"Vordere und Hintere Augenkammern","<img src=""MSA-Anterior_and_Posterior_Chambers_of_the_Eye79.jpg"">","<b>Klinik:<br></b>Eine Verminderung der Abflussrate des Kammerwassers führt zu einer&nbsp;<b>Erhöhung des Augeninnendrucks</b>. Dieser pathologische Zustand wird&nbsp;<b>Glaukom</b>&nbsp;(<b>„grüner Star“</b>) genannt. Er kann sich über Jahre nahezu unbemerkt entwickeln (<b>Glaucoma chronicum simplex</b>) oder bei einer akuten Durcksteigerung auf 80&nbsp;mmHg als&nbsp;<b>Glaukomanfall</b>&nbsp;auftreten. Letzterer kann mit starken Augen- und Kopfschmerzen,&nbsp;Erbrechen, Stauung der episkleralen Venen und Hornhautödem einhergehen. Eine Erhöhung des intraokulären Drucks führt zu einer Abscherung von Nervenfasern im Bereich der Papilla nervi optici und schließlich zur Atrophie des N. opticus und Erblindung.<br>Die Therapie zielt auf eine Senkung der Kammerwasserproduktion und auf eine Verbesserung des trabekulären Abflusses. Letzteres wird durch Miotika (Substanzen, welche die M. sphincter pupillae und M. ciliaris kontrahieren) erreicht.<b><br></b>","<b>Kommentar:</b>&nbsp;Man unterscheidet drei Räume (Kammern) des Auges . Sie gliedern sich von ventral nach dorsal in: vordere Augenkammer (Camera anterior), hintere Augenkammer (Camera posterior) und Glaskörperraum (Camera postrema, Camera vitrea).<br><div><div>Akkommodation</div></div><div><br></div><div>Über den Kammerwinkel in der vorderen Augenkammer fließt das Kammerwasser durch ein Trabekelwerk, den Schlemm-Kanal und die Kammerwasservenen in die episkleralen und von dort in die subkonjunktivalen Venen ab.<br></div><div><br></div><div>Beim&nbsp;<b>Blick in die Nähe</b>&nbsp;(<b>Akkommodation</b>)&nbsp;<b>kontrahieren</b>&nbsp;sich die meridionalen Fasern des&nbsp;<b>M. ciliaris</b>&nbsp;und verschieben die Processus ciliares in Richtung Linsenäquator. Dadurch erschlaffen die Zonulafasern und dank ihrer&nbsp;<b>Eigenelastizität</b>&nbsp;nimmt die Linse eine mehr kugelförmige Gestalt an → ihre&nbsp;<b>Brechkraft nimmt zu</b>.</div><div><div>Desakkommodation</div></div><div>Beim&nbsp;<b>Blick in die Ferne</b>&nbsp;(<b>Desakkommodation</b>)&nbsp;<b>erschlafft</b>&nbsp;der&nbsp;<b>M. ciliaris</b>, wodurch die passiv gespannten Anteile der&nbsp;<b>Bruch-Membran</b>&nbsp;(Abb. M-5.11) sich wieder zusammen ziehen. Dadurch bewegen sich die Ziliarfortsätze vom Linsenäquator weg. Dies spannt die Zonulafasern an, die ihrerseits an der Linse ziehen und diese abflachen → ihre&nbsp;<b>Brechkraft nimmt ab</b>.</div>",,,,,,,<div>Cornea</div>,Trabekelwerk,"<div>Sinus venosus sclerae (mit Schlemm Kanal)</div>",<div>Sclera</div>,"<div>Cilliarkörper;</div><div>Corpus ciliaris</div>","<div>Musculus ciliaris</div>",<div>Zonulafasern</div>,"<div>Hintere Augenkammer;</div><div>Camera posterior bulbi oculi</div>","<div>Musculus dilatator pupillae</div>","<div>Musculus sphincter pupillae</div>",<div>Linse</div>,<div>Iris</div>,"<div>Vordere Augenkammer;<br></div><div>Camera anterior bulbi oculi</div>",,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Head&Neck::Eye DopeRanatomy::System::Ophthalmological Dufte::Kopf_und_Hals::Auge"
$Xkv^t2XD*,1349477488357,"Vordere Thoraxwand","<img src=""MSA-Anterior_Thoracic_Wall2.jpg"">","<b>Klinik:</b> Unter jeder&nbsp;Rippe&nbsp;parkt ein VAN – Aufbau der Gefäß-Nerven-Straße unter den&nbsp;Rippen&nbsp;von kranial nach kaudal:&nbsp;Vene&nbsp;–&nbsp;Arterie&nbsp;– Nerv.<br>","<b>Kommentar</b>&nbsp;Die&nbsp;Muskulatur&nbsp;in den Intercostalräumen dient zum einen der Abdichtung dieser Räume und zum anderen spielt sie eine wichtige Rolle für die&nbsp;Atemmechanik. Zwischen den&nbsp;Mm. intercostales interni&nbsp;und&nbsp;Mm. intercostales intimi&nbsp;verläuft die Bindegewebsloge der Intercostalgefäße und -nerven, die die beiden Muskeln voneinander trennt.<br>","<b>Ursprung:</b>  Rippenunterrand <br><br>","<b>Ansatz:&nbsp;</b>Oberrand der nächsttieferen&nbsp;Rippe<br><br>",,"<b>Innervation:</b>&nbsp;Nn. intercostales&nbsp;1–11<br>",<b>Funktion:&nbsp;</b>Inspiration<br>,"Atlas Plate 183","<div>Musculus intercostalis externus</div>",,,,,,,,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Thorax DopeRanatomy::System::Musculoskeletal::Muscular::Thorax Dufte::Thorax::Muskulatur"
